epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,109.225,1.13211,1.07421,0.98893,0.46826,0.78869,0.53703,0.27575,1.70851,1.45296,1.09058,0.000923151,0.000923151,0.000923151
69,110.709,1.18674,1.09412,1.0008,0.48679,0.72123,0.55394,0.34755,1.18712,1.30952,0.937,0.000912049,0.000912049,0.000912049
70,112.22,1.17018,1.0762,1.00234,0.53644,0.68144,0.56423,0.36855,1.1012,1.29248,0.92148,0.000900947,0.000900947,0.000900947
71,113.719,1.16976,1.07786,0.99065,0.49762,0.70833,0.58453,0.37805,1.14351,1.20137,0.92269,0.000889845,0.000889845,0.000889845
72,115.197,1.13926,1.09036,0.9774,0.4874,0.7793,0.62561,0.41479,1.11599,1.18194,0.9165,0.000878742,0.000878742,0.000878742
73,116.729,1.17125,1.07473,0.99132,0.49402,0.75694,0.60831,0.40848,1.13505,1.22081,0.92093,0.00086764,0.00086764,0.00086764
74,118.199,1.15928,1.08577,0.99439,0.4421,0.80456,0.57735,0.3816,1.10789,1.2537,0.92144,0.000856538,0.000856538,0.000856538
75,119.685,1.16913,1.08783,0.99566,0.43191,0.88912,0.60207,0.38775,1.16203,1.20955,0.92883,0.000845436,0.000845436,0.000845436
76,121.116,1.15861,1.07467,1.00523,0.50293,0.75794,0.61414,0.38943,1.1925,1.17844,0.94212,0.000834333,0.000834333,0.000834333
77,122.59,1.14862,1.07226,0.99134,0.54188,0.73909,0.64201,0.40768,1.1077,1.11076,0.91205,0.000823231,0.000823231,0.000823231
78,124.02,1.15345,1.04955,0.98645,0.54808,0.7246,0.62241,0.41316,1.12829,1.13396,0.92145,0.000812129,0.000812129,0.000812129
79,125.474,1.14654,1.06923,0.98718,0.60484,0.80001,0.67243,0.44345,1.06721,1.04166,0.90747,0.000801027,0.000801027,0.000801027
80,126.951,1.12145,1.0219,0.98685,0.54355,0.74943,0.6053,0.38209,1.13495,1.21361,0.92493,0.000789925,0.000789925,0.000789925
81,128.446,1.13,1.06545,0.97985,0.49972,0.74603,0.60352,0.37757,1.17469,1.15465,0.92034,0.000778822,0.000778822,0.000778822
82,129.997,1.11321,1.03499,0.98191,0.52853,0.78613,0.66299,0.42552,1.1276,1.10147,0.90793,0.00076772,0.00076772,0.00076772
83,131.47,1.13631,1.05121,0.98063,0.52406,0.78984,0.62765,0.40348,1.16055,1.13318,0.91287,0.000756618,0.000756618,0.000756618
84,132.963,1.12491,1.03532,0.99341,0.54194,0.75258,0.63707,0.40984,1.17559,1.081,0.9267,0.000745516,0.000745516,0.000745516
85,134.428,1.11772,1.04035,0.98455,0.54422,0.78074,0.65128,0.41586,1.1119,1.11561,0.91522,0.000734414,0.000734414,0.000734414
86,135.908,1.12748,1.05106,0.98444,0.56635,0.74545,0.64211,0.39356,1.26323,1.1125,0.95103,0.000723311,0.000723311,0.000723311
87,137.376,1.11069,1.0191,0.97134,0.52702,0.77829,0.64802,0.38679,1.40701,1.10557,0.98606,0.000712209,0.000712209,0.000712209
88,138.873,1.10442,1.05771,0.97895,0.58227,0.68254,0.65109,0.42103,1.11187,1.08934,0.9232,0.000701107,0.000701107,0.000701107
89,140.32,1.10823,1.03103,0.97188,0.54555,0.69345,0.66504,0.45135,1.06562,1.05593,0.91196,0.000690005,0.000690005,0.000690005
90,141.774,1.16146,1.04457,0.9989,0.48716,0.83712,0.67016,0.4243,1.13963,1.09909,0.92905,0.000678902,0.000678902,0.000678902
91,143.287,1.13002,1.02882,0.97744,0.59633,0.71925,0.67071,0.41841,1.17649,1.07977,0.93617,0.0006678,0.0006678,0.0006678
92,144.741,1.117,1.01447,0.97303,0.60235,0.62401,0.63304,0.40509,1.18874,1.14776,0.93837,0.000656698,0.000656698,0.000656698
93,146.179,1.08636,1.00966,0.97532,0.54527,0.70915,0.66174,0.43197,1.12249,1.09258,0.9211,0.000645596,0.000645596,0.000645596
94,147.624,1.08074,1.00012,0.96987,0.55548,0.80357,0.68184,0.44589,1.13932,1.04633,0.92218,0.000634494,0.000634494,0.000634494
95,149.061,1.11502,0.99917,0.96969,0.5841,0.73214,0.65907,0.42656,1.17505,1.07363,0.9261,0.000623391,0.000623391,0.000623391
96,150.504,1.09844,1.01112,0.95778,0.61532,0.66847,0.62461,0.38318,1.24231,1.14199,0.94312,0.000612289,0.000612289,0.000612289
97,151.978,1.10578,1.01085,0.97217,0.51126,0.74107,0.61331,0.35468,1.40206,1.19763,0.98355,0.000601187,0.000601187,0.000601187
98,153.544,1.11474,1.00971,0.97821,0.57231,0.69246,0.60395,0.40712,1.02807,1.21006,0.89533,0.000590085,0.000590085,0.000590085
99,155.045,1.07606,0.988,0.97222,0.57603,0.65278,0.62391,0.417,1.08336,1.12452,0.90659,0.000578982,0.000578982,0.000578982
100,156.48,1.08192,0.98355,0.96846,0.52412,0.72951,0.64493,0.38239,1.39477,1.16613,0.9841,0.00056788,0.00056788,0.00056788
101,157.936,1.14058,0.99782,0.98022,0.6023,0.70139,0.65436,0.41813,1.17953,1.11851,0.9271,0.000556778,0.000556778,0.000556778
102,159.411,1.12244,0.99199,0.97817,0.48973,0.85564,0.60652,0.35284,1.46237,1.26667,0.9962,0.000545676,0.000545676,0.000545676
103,160.883,1.08131,0.97416,0.96558,0.59869,0.67361,0.63406,0.38156,1.26882,1.1425,0.95406,0.000534574,0.000534574,0.000534574
104,162.326,1.08698,0.99341,0.96558,0.51489,0.78785,0.61607,0.39401,1.13713,1.17858,0.9146,0.000523471,0.000523471,0.000523471
105,163.805,1.08423,0.97582,0.96901,0.57733,0.73121,0.69663,0.43971,1.17764,1.0526,0.92875,0.000512369,0.000512369,0.000512369
106,165.267,1.07819,0.99392,0.96363,0.55693,0.79839,0.69932,0.40773,1.44948,1.05538,0.99106,0.000501267,0.000501267,0.000501267
107,166.706,1.08153,0.97699,0.95895,0.59081,0.78869,0.70229,0.4585,1.10108,1.04929,0.8981,0.000490165,0.000490165,0.000490165
108,168.164,1.05866,0.98231,0.95789,0.57891,0.72421,0.66185,0.4358,1.12878,1.06026,0.91142,0.000479062,0.000479062,0.000479062
109,169.608,1.06512,0.95724,0.96339,0.48603,0.80067,0.62355,0.40376,1.09771,1.26141,0.90983,0.00046796,0.00046796,0.00046796
110,171.075,1.10612,0.98195,0.9778,0.50156,0.86369,0.64845,0.43861,1.0288,1.09661,0.89151,0.000456858,0.000456858,0.000456858
111,172.543,1.07249,0.9322,0.96595,0.53828,0.78274,0.65132,0.44108,1.0363,1.06716,0.89862,0.000445756,0.000445756,0.000445756
112,174.054,1.07828,0.96388,0.96524,0.54905,0.74206,0.65136,0.41956,1.10313,1.2188,0.91194,0.000434654,0.000434654,0.000434654
113,175.555,1.08972,0.9491,0.97371,0.56276,0.79913,0.70681,0.47088,1.05794,1.08908,0.90161,0.000423551,0.000423551,0.000423551
114,177.065,1.06222,0.97403,0.97646,0.59231,0.7642,0.69492,0.4786,1.04599,1.06997,0.89991,0.000412449,0.000412449,0.000412449
115,178.687,1.04918,0.95162,0.95662,0.59913,0.72575,0.67663,0.46219,1.05249,1.0573,0.90133,0.000401347,0.000401347,0.000401347
116,180.21,1.07464,0.96957,0.9681,0.62513,0.71528,0.68765,0.46838,1.02212,1.02281,0.89655,0.000390245,0.000390245,0.000390245
117,181.663,1.05984,0.96571,0.97398,0.58011,0.77237,0.682,0.47552,1.02138,1.04393,0.89789,0.000379142,0.000379142,0.000379142
118,183.14,1.08051,0.96987,0.9685,0.54279,0.80216,0.65999,0.46581,1.02093,1.05364,0.8957,0.00036804,0.00036804,0.00036804
119,184.608,1.04951,0.95998,0.95768,0.56998,0.75198,0.67519,0.46853,1.02621,1.04631,0.90096,0.000356938,0.000356938,0.000356938
120,186.053,1.08591,0.95856,0.96684,0.56335,0.77083,0.68374,0.46094,1.04662,1.02381,0.90226,0.000345836,0.000345836,0.000345836
121,187.515,1.04589,0.91511,0.95622,0.56971,0.71329,0.64243,0.42419,1.10502,1.10526,0.91346,0.000334734,0.000334734,0.000334734
